ticker,lt_score,lt_signal_date,st_score,st_signal_date,has_lt_signal,has_st_signal,as_of_date
ADANIENT.NS,97.0,2026-07-02,52.2,2026-07-09,True,True,2026-08-18
ADANIGREEN.NS,97.0,2026-07-14,36.5,2026-07-14,True,True,2026-08-18
ADANIPORTS.NS,97.0,2026-07-01,39.8,2026-07-02,True,True,2026-08-18
ADANIPOWER.NS,97.0,2026-05-27,40.1,2026-07-14,True,True,2026-08-18
AMBUJACEM.NS,97.0,2025-07-22,57.7,2025-12-09,True,True,2026-08-18
APOLLOHOSP.NS,97.0,2026-07-15,54.2,2026-08-06,True,True,2026-08-18
ASIANPAINT.NS,97.0,2026-07-29,37.2,2026-07-29,True,True,2026-08-18
AXISBANK.NS,97.0,2026-01-30,32.0,2026-03-16,True,True,2026-08-18
BAJAJ-AUTO.NS,96.7,2026-07-23,34.2,2026-07-23,True,True,2026-08-18
BAJAJFINSV.NS,97.0,2025-10-20,31.7,2025-12-05,True,True,2026-08-18
BAJFINANCE.NS,97.0,2026-02-13,38.7,2026-08-03,True,True,2026-08-18
BANDHANBNK.NS,97.0,2026-06-16,42.4,2026-07-06,True,True,2026-08-18
BANKBEES.NS,96.5,2026-02-18,47.0,2026-08-17,True,True,2026-08-18
BEL.NS,97.0,2026-03-06,41.3,2026-06-17,True,True,2026-08-18
BHARTIARTL.NS,97.0,2025-11-04,33.6,2026-03-04,True,True,2026-08-18
BPCL.NS,97.0,2025-12-31,55.7,2026-01-29,True,True,2026-08-18
BRITANNIA.NS,94.0,2026-01-07,49.2,2026-03-24,True,True,2026-08-18
CIPLA.NS,92.2,2026-07-29,48.9,2026-07-29,True,True,2026-08-18
COALINDIA.NS,97.0,2026-03-12,59.8,2026-07-30,True,True,2026-08-18
DABUR.NS,97.0,2026-01-22,37.1,2026-01-28,True,True,2026-08-18
DIVISLAB.NS,97.0,2026-08-04,53.6,2026-08-04,True,True,2026-08-18
DLF.NS,97.0,2024-09-24,52.2,2025-11-03,True,True,2026-08-18
DRREDDY.NS,100.0,2026-06-29,49.3,2026-06-29,True,True,2026-08-18
EICHERMOT.NS,97.0,2026-08-03,36.8,2026-08-03,True,True,2026-08-18
ETERNAL.NS,97.0,2025-07-24,25.6,2025-12-09,True,True,2026-08-18
GODREJCP.NS,97.0,2024-07-23,12.3,2026-03-10,True,True,2026-08-18
GOLDBEES.NS,58.4,2026-08-10,38.4,2026-08-10,True,True,2026-08-18
GRASIM.NS,97.0,2026-08-10,52.2,2026-08-18,True,True,2026-08-18
HCLTECH.NS,97.0,2025-01-10,54.1,2026-01-13,True,True,2026-08-18
HDFCBANK.NS,94.3,2025-10-23,48.0,2025-11-27,True,True,2026-08-18
HDFCLIFE.NS,97.0,2025-06-27,38.3,2026-01-06,True,True,2026-08-18
HEROMOTOCO.NS,97.0,2025-11-20,26.2,2026-04-08,True,True,2026-08-18
HINDALCO.NS,80.5,2026-08-12,41.0,2026-08-12,True,True,2026-08-18
HINDUNILVR.NS,97.0,2025-08-26,46.0,2025-12-02,True,True,2026-08-18
ICICIBANK.NS,97.0,2025-06-27,44.3,2025-11-13,True,True,2026-08-18
INDIGO.NS,97.0,2025-06-30,56.4,2025-12-15,True,True,2026-08-18
INDUSINDBK.NS,97.0,2026-07-22,53.8,2026-07-22,True,True,2026-08-18
INDUSTOWER.NS,97.0,2026-02-10,56.3,2026-07-09,True,True,2026-08-18
INFY.NS,97.0,2026-01-16,37.5,2026-02-03,True,True,2026-08-18
IOC.NS,97.0,2026-02-11,52.4,2026-04-08,True,True,2026-08-18
ITC.NS,78.7,2025-01-02,37.5,2025-01-02,True,True,2026-08-18
JIOFIN.NS,97.0,2024-09-27,42.4,2025-11-13,True,True,2026-08-18
JSWSTEEL.NS,93.9,2026-05-14,47.3,2026-07-22,True,True,2026-08-18
KOTAKBANK.NS,88.4,2025-07-08,26.0,2026-03-10,True,True,2026-08-18
LT.NS,97.0,2026-06-15,27.7,2026-07-29,True,True,2026-08-18
M&M.NS,97.0,2025-09-04,44.1,2026-03-16,True,True,2026-08-18
MARUTI.NS,97.0,2025-09-23,47.2,2026-03-17,True,True,2026-08-18
MAXHEALTH.NS,97.0,2025-06-27,39.5,2025-10-06,True,True,2026-08-18
NESTLEIND.NS,93.9,2026-07-30,33.5,2026-07-30,True,True,2026-08-18
NTPC.NS,97.0,2026-03-12,47.4,2026-07-20,True,True,2026-08-18
ONGC.NS,97.0,2026-04-28,49.2,2026-05-14,True,True,2026-08-18
PIDILITIND.NS,97.0,2026-08-05,28.6,2026-08-05,True,True,2026-08-18
POWERGRID.NS,93.7,2024-09-25,42.3,2026-07-27,True,True,2026-08-18
RELIANCE.NS,97.0,2025-11-20,29.6,2026-02-03,True,True,2026-08-18
SBILIFE.NS,97.0,2025-10-29,49.7,2026-04-06,True,True,2026-08-18
SBIN.NS,97.0,2026-02-12,47.1,2026-05-19,True,True,2026-08-18
SHREECEM.NS,97.0,2025-05-15,52.7,2025-10-29,True,True,2026-08-18
SHRIRAMFIN.NS,97.0,2026-08-06,51.0,2026-08-06,True,True,2026-08-18
SIEMENS.NS,90.5,2026-08-12,55.0,2026-08-12,True,True,2026-08-18
SILVERBEES.NS,77.8,2026-05-14,42.3,2026-08-05,True,True,2026-08-18
SPICEJET.NS,0.0,,0.0,,False,False,2026-08-18
SUNPHARMA.NS,97.0,2026-07-28,54.4,2026-07-28,True,True,2026-08-18
TATACONSUM.NS,97.0,2025-11-03,33.1,2026-07-02,True,True,2026-08-18
TATAMOTORS.NS,0.0,,0.0,,False,False,2026-08-18
TATAPOWER.NS,97.0,2026-04-28,56.3,2026-05-26,True,True,2026-08-18
TATASTEEL.NS,94.9,2026-05-13,46.0,2026-08-10,True,True,2026-08-18
TCS.NS,92.8,2024-12-05,43.0,2025-01-13,True,True,2026-08-18
TECHM.NS,100.0,2026-01-19,41.2,2026-03-18,True,True,2026-08-18
TITAN.NS,97.0,2026-08-11,54.1,2026-08-11,True,True,2026-08-18
TMPV.NS,0.0,,0.0,,False,False,2026-08-18
TRENT.NS,97.0,2024-10-08,45.0,2025-02-01,True,True,2026-08-18
TVSMOTOR.NS,94.1,2026-01-02,49.6,2026-05-07,True,True,2026-08-18
ULTRACEMCO.NS,97.0,2025-08-18,25.7,2026-03-24,True,True,2026-08-18
VEDL.NS,97.0,2026-01-29,49.5,2026-04-07,True,True,2026-08-18
WIPRO.NS,97.0,2025-01-23,34.7,2026-01-16,True,True,2026-08-18
